time,position,ref
22.63333333,-0.022360304,0.912109958
22.66666667,-0.022100312,0.92068969
22.7,-0.021760754,0.931895108
22.73333333,-0.021247646,0.948827694
22.76666667,-0.020509211,0.973196026
22.8,-0.019676884,1.000662813
22.83333333,-0.018759082,1.030950286
22.86666667,-0.018019084,1.05537024
22.9,-0.017273658,1.079969288
22.93333333,-0.016490481,1.105814129
22.96666667,-0.015714648,1.131416616
23,-0.014962314,1.156243641
23.03333333,-0.014420344,1.174128639
23.06666667,-0.013791786,1.194871071
23.1,-0.013158709,1.215762593
23.13333333,-0.0125295,1.23652651
23.16666667,-0.01203054,1.25299219
23.2,-0.011728057,1.26297412
23.23333333,-0.011394597,1.273978308
23.26666667,-0.011012998,1.286571072
23.3,-0.010556274,1.301642947
23.33333333,-0.009854131,1.324813672
23.36666667,-0.009106587,1.349482623
23.4,-0.008150779,1.381024279
23.43333333,-0.007000288,1.418990484
23.46666667,-0.00565914,1.463248374
23.5,-0.004189448,1.511748203
23.53333333,-0.003190852,1.544701868
23.56666667,-0.001985431,1.58448079
23.6,-0.000625086,1.629372178
23.63333333,0.000792141,1.676140665
23.66666667,0.001935984,1.713887477
23.7,0.0024811,1.731876293
23.73333333,0.00303081,1.750016729
23.76666667,0.00342444,1.763006532
23.8,0.00367579,1.771301058
23.83333333,0.003983109,1.781442607
23.86666667,0.004107556,1.785549339
23.9,0.004302385,1.791978719
23.93333333,0.004476813,1.797734845
23.96666667,0.00467839,1.804386885
24,0.004842149,1.809790925
24.03333333,0.004882362,1.811117951
24.06666667,0.004941898,1.81308262
24.1,0.005331335,1.82593405
24.13333333,0.005768549,1.840362131
24.16666667,0.006288773,1.857529525
24.2,0.006613287,1.868238487
24.23333333,0.007509214,1.897804065
24.26666667,0.008390532,1.92688756
24.3,0.009897053,1.976602747
24.33333333,0.01215631,2.051158242
24.36666667,0.012903712,2.075822486
24.4,0.014153806,2.117075582
24.43333333,0.015742101,2.169489325
24.46666667,0.017235615,2.21877528
24.5,0.018713551,2.267547189
24.53333333,0.019548593,2.295103562
24.56666667,0.020910505,2.340046676
24.6,0.022424916,2.390022234
24.63333333,0.024091518,2.445020105
24.66666667,0.02580579,2.501591073
24.7,0.026192026,2.514336857
24.73333333,0.026391286,2.520912454
24.76666667,0.026441602,2.52257286
24.8,0.026416182,2.521733999
24.83333333,0.026002016,2.508066528
24.86666667,0.025716376,2.498640395
24.9,0.025334723,2.486045861
24.93333333,0.024926264,2.472566707
24.96666667,0.024292863,2.451664491
25,0.023428299,2.423133864
25.03333333,0.023096706,2.4121913
25.06666667,0.022461932,2.391243766
25.1,0.021444799,2.357678375
25.13333333,0.02056569,2.328667761
25.16666667,0.019653282,2.298558304
25.2,0.019030502,2.278006568
25.23333333,0.018184414,2.250085662
25.26666667,0.017163012,2.216379395
25.3,0.015690659,2.167791742
25.33333333,0.014177123,2.117845075
25.36666667,0.013673235,2.10121674
25.4,0.013149137,2.083921527
25.43333333,0.012555038,2.064316245
25.46666667,0.012140147,2.050624837
25.5,0.011671003,2.035143087
25.53333333,0.011408921,2.026494393
25.56666667,0.010870562,2.008728539
25.6,0.009917527,1.977278377
25.63333333,0.00867072,1.936133774
25.66666667,0.007333756,1.892013953
25.7,0.006663823,1.869906165
25.73333333,0.005896489,1.844584125
25.76666667,0.005051429,1.816697169
25.8,0.004243434,1.790033308
25.83333333,0.003511514,1.765879956
25.86666667,0.003158258,1.754222507
25.9,0.001829063,1.71035908
25.93333333,-0.000754731,1.625093864
25.96666667,-0.004408309,1.504525808
26,-0.007761408,1.393873551
26.03333333,-0.008141496,1.381330628
26.06666667,-0.008606616,1.365981679
26.1,-0.008915716,1.35578136
26.13333333,-0.009227761,1.345483872
26.16666667,-0.009698551,1.329947824
26.2,-0.009728597,1.328956314
26.23333333,-0.009771618,1.327536597
26.26666667,-0.009847499,1.325032536
26.3,-0.009957993,1.32138624
26.33333333,-0.010134685,1.31555538
26.36666667,-0.010139842,1.315385207
26.4,-0.010133334,1.315599977
26.43333333,-0.010120088,1.316037098
26.46666667,-0.010085977,1.317162755
26.5,-0.010019579,1.319353888
26.53333333,-0.010017991,1.319406295
26.56666667,-0.009997923,1.320068526
26.6,-0.009972659,1.320902246
26.63333333,-0.00993495,1.322146652
26.66666667,-0.00993495,1.322146652
26.7,-0.00993495,1.322146652
26.73333333,-0.009929183,1.322336975
26.76666667,-0.009897714,1.323375445
26.8,-0.009818094,1.326002902
26.83333333,-0.009714447,1.329423239
26.86666667,-0.009703877,1.329772067
26.9,-0.009676503,1.330675412
26.93333333,-0.009615019,1.332704381
26.96666667,-0.009393117,1.340027144
27,-0.009098875,1.349737133
27.03333333,-0.009098875,1.349737133
27.06666667,-0.009098875,1.349737133
27.1,-0.009098875,1.349737133
27.13333333,-0.009098875,1.349737133
27.16666667,-0.009098875,1.349737133
27.2,-0.009098875,1.349737133
27.23333333,-0.009098875,1.349737133
27.26666667,-0.009098875,1.349737133
27.3,-0.009098875,1.349737133
27.33333333,-0.009098875,1.349737133
27.36666667,-0.009098875,1.349737133
27.4,-0.009098875,1.349737133
27.43333333,-0.009098875,1.349737133
27.46666667,-0.009098875,1.349737133
27.5,-0.009098875,1.349737133
27.53333333,-0.009098875,1.349737133
27.56666667,-0.009098875,1.349737133
27.6,-0.009098875,1.349737133
27.63333333,-0.009098875,1.349737133
27.66666667,-0.009098875,1.349737133
27.7,-0.009098875,1.349737133
27.73333333,-0.009098875,1.349737133
27.76666667,-0.009098875,1.349737133
27.8,-0.009098875,1.349737133
27.83333333,-0.009098875,1.349737133
27.86666667,-0.009098875,1.349737133
27.9,-0.009098875,1.349737133
27.93333333,-0.008960611,1.354299852
27.96666667,-0.008751665,1.36119504
28,-0.008073428,1.383576874
28.03333333,-0.008013644,1.385549746
28.06666667,-0.007273767,1.409965677
28.1,-0.006681194,1.429520604
28.13333333,-0.005665151,1.463050029
28.16666667,-0.004616057,1.497670133
28.2,-0.004616057,1.497670133
28.23333333,-0.004616057,1.497670133
28.26666667,-0.004616057,1.497670133
28.3,-0.004616057,1.497670133
28.33333333,-0.004616057,1.497670133
28.36666667,-0.004616057,1.497670133
28.4,-0.004466508,1.502605226
28.43333333,-0.004311581,1.507717824
28.46666667,-0.004151213,1.513009986
